,Year,(semi-) final,Jury or Televoting,From country,To country,Points,2_minority_in_1,distw
0,1975,f,J,Belgium,Belgium,0,0.0,66.77504
1,1976,f,J,Belgium,Belgium,0,0.0,66.77504
2,1977,f,J,Belgium,Belgium,0,0.0,66.77504
3,1978,f,J,Belgium,Belgium,0,0.0,66.77504
4,1979,f,J,Belgium,Belgium,0,0.0,66.77504
5,1980,f,J,Belgium,Belgium,0,0.0,66.77504
6,1981,f,J,Belgium,Belgium,0,0.0,66.77504
7,1982,f,J,Belgium,Belgium,0,0.0,66.77504
8,1983,f,J,Belgium,Belgium,0,0.0,66.77504
9,1984,f,J,Belgium,Belgium,0,0.0,66.77504
10,1985,f,J,Belgium,Belgium,0,0.0,66.77504
11,1986,f,J,Belgium,Belgium,0,0.0,66.77504
12,1987,f,J,Belgium,Belgium,0,0.0,66.77504
13,1988,f,J,Belgium,Belgium,0,0.0,66.77504
14,1989,f,J,Belgium,Belgium,0,0.0,66.77504
15,1990,f,J,Belgium,Belgium,0,0.0,66.77504
16,1991,f,J,Belgium,Belgium,0,0.0,66.77504
17,1992,f,J,Belgium,Belgium,0,0.0,66.77504
18,1993,f,J,Belgium,Belgium,0,0.0,66.77504
19,1995,f,J,Belgium,Belgium,0,0.0,66.77504
20,1996,f,J,Belgium,Belgium,0,0.0,66.77504
21,1998,f,J,Belgium,Belgium,0,0.0,66.77504
22,1999,f,J,Belgium,Belgium,0,0.0,66.77504
23,2000,f,J,Belgium,Belgium,0,0.0,66.77504
24,2002,f,J,Belgium,Belgium,0,0.0,66.77504
25,2003,f,J,Belgium,Belgium,0,0.0,66.77504
26,2004,f,J,Belgium,Belgium,0,0.0,66.77504
27,2005,sf,J,Belgium,Belgium,0,0.0,66.77504
28,2006,sf,J,Belgium,Belgium,0,0.0,66.77504
29,2007,sf,J,Belgium,Belgium,0,0.0,66.77504
30,2008,sf1,J,Belgium,Belgium,0,0.0,66.77504
31,2009,sf1,J,Belgium,Belgium,0,0.0,66.77504
32,2010,f,J,Belgium,Belgium,0,0.0,66.77504
33,2010,sf1,J,Belgium,Belgium,0,0.0,66.77504
34,2011,sf2,J,Belgium,Belgium,0,0.0,66.77504
35,2012,sf1,J,Belgium,Belgium,0,0.0,66.77504
36,2013,f,J,Belgium,Belgium,0,0.0,66.77504
37,2013,sf1,J,Belgium,Belgium,0,0.0,66.77504
38,2014,sf1,J,Belgium,Belgium,0,0.0,66.77504
39,1975,f,J,Belgium,Finland,0,0.0,1706.886
40,1976,f,J,Belgium,Finland,0,0.0,1706.886
41,1977,f,J,Belgium,Finland,0,0.0,1706.886
42,1978,f,J,Belgium,Finland,0,0.0,1706.886
43,1979,f,J,Belgium,Finland,0,0.0,1706.886
44,1980,f,J,Belgium,Finland,0,0.0,1706.886
45,1981,f,J,Belgium,Finland,0,0.0,1706.886
46,1982,f,J,Belgium,Finland,0,0.0,1706.886
47,1983,f,J,Belgium,Finland,0,0.0,1706.886
48,1984,f,J,Belgium,Finland,0,0.0,1706.886
49,1985,f,J,Belgium,Finland,0,0.0,1706.886
50,1986,f,J,Belgium,Finland,8,0.0,1706.886
51,1987,f,J,Belgium,Finland,0,0.0,1706.886
52,1988,f,J,Belgium,Finland,0,0.0,1706.886
53,1989,f,J,Belgium,Finland,0,0.0,1706.886
54,1990,f,J,Belgium,Finland,0,0.0,1706.886
55,1991,f,J,Belgium,Finland,0,0.0,1706.886
56,1992,f,J,Belgium,Finland,0,0.0,1706.886
57,1993,f,J,Belgium,Finland,0,0.0,1706.886
58,1996,f,J,Belgium,Finland,0,0.0,1706.886
59,1998,f,J,Belgium,Finland,0,0.0,1706.886
60,2000,f,J,Belgium,Finland,0,0.0,1706.886
61,2002,f,J,Belgium,Finland,0,0.0,1706.886
62,2004,sf,J,Belgium,Finland,1,0.0,1706.886
63,2005,sf,J,Belgium,Finland,0,0.0,1706.886
64,2006,f,J,Belgium,Finland,8,0.0,1706.886
65,2006,sf,J,Belgium,Finland,10,0.0,1706.886
66,2007,f,J,Belgium,Finland,0,0.0,1706.886
67,2008,f,J,Belgium,Finland,0,0.0,1706.886
68,2008,sf1,J,Belgium,Finland,2,0.0,1706.886
69,2009,f,J,Belgium,Finland,0,0.0,1706.886
70,2009,sf1,J,Belgium,Finland,1,0.0,1706.886
71,2010,sf1,J,Belgium,Finland,7,0.0,1706.886
72,2011,f,J,Belgium,Finland,0,0.0,1706.886
73,2012,sf1,J,Belgium,Finland,1,0.0,1706.886
74,2013,f,J,Belgium,Finland,0,0.0,1706.886
75,2014,f,J,Belgium,Finland,3,0.0,1706.886
76,1975,f,J,Belgium,France,2,0.0,526.3351
77,1976,f,J,Belgium,France,10,0.0,526.3351
78,1977,f,J,Belgium,France,4,0.0,526.3351
79,1978,f,J,Belgium,France,8,0.0,526.3351
80,1979,f,J,Belgium,France,6,0.0,526.3351
81,1980,f,J,Belgium,France,5,0.0,526.3351
82,1981,f,J,Belgium,France,3,0.0,526.3351
83,1983,f,J,Belgium,France,0,0.0,526.3351
84,1984,f,J,Belgium,France,10,0.0,526.3351
85,1985,f,J,Belgium,France,0,0.0,526.3351
86,1986,f,J,Belgium,France,0,0.0,526.3351
87,1987,f,J,Belgium,France,0,0.0,526.3351
88,1988,f,J,Belgium,France,2,0.0,526.3351
89,1989,f,J,Belgium,France,0,0.0,526.3351
90,1990,f,J,Belgium,France,4,0.0,526.3351
91,1991,f,J,Belgium,France,7,0.0,526.3351
92,1992,f,J,Belgium,France,0,0.0,526.3351
93,1993,f,J,Belgium,France,0,0.0,526.3351
94,1995,f,J,Belgium,France,6,0.0,526.3351
95,1996,f,J,Belgium,France,7,0.0,526.3351
96,1998,f,J,Belgium,France,0,0.0,526.3351
97,1999,f,J,Belgium,France,0,0.0,526.3351
98,2000,f,J,Belgium,France,0,0.0,526.3351
99,2002,f,J,Belgium,France,10,0.0,526.3351
100,2003,f,J,Belgium,France,0,0.0,526.3351
101,2004,f,J,Belgium,France,10,0.0,526.3351
102,2005,f,J,Belgium,France,0,0.0,526.3351
103,2006,f,J,Belgium,France,0,0.0,526.3351
104,2007,f,J,Belgium,France,0,0.0,526.3351
105,2008,f,J,Belgium,France,0,0.0,526.3351
106,2009,f,J,Belgium,France,1,0.0,526.3351
107,2010,f,J,Belgium,France,0,0.0,526.3351
108,2011,f,J,Belgium,France,12,0.0,526.3351
109,2012,f,J,Belgium,France,0,0.0,526.3351
110,2013,f,J,Belgium,France,0,0.0,526.3351
111,2014,f,J,Belgium,France,0,0.0,526.3351
112,2015,f,J,Belgium,France,0,0.0,526.3351
113,2016,f,J,Belgium,France,8,0.0,526.3351
114,2016,f,T,Belgium,France,8,0.0,526.3351
115,1975,f,J,Belgium,Germany,0,1.0,423.3463
116,1976,f,J,Belgium,Germany,1,1.0,423.3463
117,1977,f,J,Belgium,Germany,0,1.0,423.3463
118,1978,f,J,Belgium,Germany,5,1.0,423.3463
119,1979,f,J,Belgium,Germany,4,1.0,423.3463
120,1980,f,J,Belgium,Germany,7,1.0,423.3463
121,1981,f,J,Belgium,Germany,10,1.0,423.3463
122,1982,f,J,Belgium,Germany,10,1.0,423.3463
123,1983,f,J,Belgium,Germany,6,1.0,423.3463
124,1984,f,J,Belgium,Germany,6,1.0,423.3463
125,1985,f,J,Belgium,Germany,10,1.0,423.3463
126,1986,f,J,Belgium,Germany,7,1.0,423.3463
127,1987,f,J,Belgium,Germany,10,1.0,423.3463
128,1988,f,J,Belgium,Germany,0,1.0,423.3463
129,1989,f,J,Belgium,Germany,5,1.0,423.3463
130,1990,f,J,Belgium,Germany,6,1.0,423.3463
131,1991,f,J,Belgium,Germany,0,1.0,423.3463
132,1992,f,J,Belgium,Germany,6,1.0,423.3463
133,1993,f,J,Belgium,Germany,0,1.0,423.3463
134,1995,f,J,Belgium,Germany,0,1.0,423.3463
135,1998,f,J,Belgium,Germany,7,1.0,423.3463
136,1999,f,J,Belgium,Germany,10,1.0,423.3463
137,2000,f,J,Belgium,Germany,6,1.0,423.3463
138,2002,f,J,Belgium,Germany,0,1.0,423.3463
139,2003,f,J,Belgium,Germany,0,1.0,423.3463
140,2004,f,J,Belgium,Germany,0,1.0,423.3463
141,2005,f,J,Belgium,Germany,0,1.0,423.3463
142,2006,f,J,Belgium,Germany,1,1.0,423.3463
143,2007,f,J,Belgium,Germany,0,1.0,423.3463
144,2008,f,J,Belgium,Germany,0,1.0,423.3463
145,2009,f,J,Belgium,Germany,2,1.0,423.3463
146,2010,f,J,Belgium,Germany,10,1.0,423.3463
147,2011,f,J,Belgium,Germany,5,1.0,423.3463
148,2012,f,J,Belgium,Germany,0,1.0,423.3463
149,2013,f,J,Belgium,Germany,0,1.0,423.3463
150,2014,f,J,Belgium,Germany,0,1.0,423.3463
151,2015,f,J,Belgium,Germany,0,1.0,423.3463
152,2016,f,J,Belgium,Germany,0,1.0,423.3463
153,2016,f,T,Belgium,Germany,0,1.0,423.3463
154,1975,f,J,Belgium,Ireland,12,0.0,811.519
155,1976,f,J,Belgium,Ireland,0,0.0,811.519
156,1977,f,J,Belgium,Ireland,3,0.0,811.519
157,1978,f,J,Belgium,Ireland,10,0.0,811.519
158,1979,f,J,Belgium,Ireland,10,0.0,811.519
159,1980,f,J,Belgium,Ireland,12,0.0,811.519
160,1981,f,J,Belgium,Ireland,1,0.0,811.519
161,1982,f,J,Belgium,Ireland,0,0.0,811.519
162,1984,f,J,Belgium,Ireland,12,0.0,811.519
163,1985,f,J,Belgium,Ireland,8,0.0,811.519
164,1986,f,J,Belgium,Ireland,2,0.0,811.519
165,1987,f,J,Belgium,Ireland,12,0.0,811.519
166,1988,f,J,Belgium,Ireland,5,0.0,811.519
167,1989,f,J,Belgium,Ireland,3,0.0,811.519
168,1990,f,J,Belgium,Ireland,7,0.0,811.519
169,1991,f,J,Belgium,Ireland,5,0.0,811.519
170,1992,f,J,Belgium,Ireland,7,0.0,811.519
171,1993,f,J,Belgium,Ireland,2,0.0,811.519
172,1995,f,J,Belgium,Ireland,0,0.0,811.519
173,1996,f,J,Belgium,Ireland,3,0.0,811.519
174,1998,f,J,Belgium,Ireland,0,0.0,811.519
175,1999,f,J,Belgium,Ireland,0,0.0,811.519
176,2000,f,J,Belgium,Ireland,4,0.0,811.519
177,2003,f,J,Belgium,Ireland,1,0.0,811.519
178,2004,f,J,Belgium,Ireland,0,0.0,811.519
179,2005,sf,J,Belgium,Ireland,0,0.0,811.519
180,2006,f,J,Belgium,Ireland,0,0.0,811.519
181,2006,sf,J,Belgium,Ireland,3,0.0,811.519
182,2007,f,J,Belgium,Ireland,0,0.0,811.519
183,2008,sf1,J,Belgium,Ireland,4,0.0,811.519
184,2010,f,J,Belgium,Ireland,0,0.0,811.519
185,2011,f,J,Belgium,Ireland,7,0.0,811.519
186,2011,sf2,J,Belgium,Ireland,5,0.0,811.519
187,2012,f,J,Belgium,Ireland,4,0.0,811.519
188,2012,sf1,J,Belgium,Ireland,7,0.0,811.519
189,2013,f,J,Belgium,Ireland,0,0.0,811.519
190,2013,sf1,J,Belgium,Ireland,4,0.0,811.519
191,2016,sf2,J,Belgium,Ireland,0,0.0,811.519
192,2016,sf2,T,Belgium,Ireland,4,0.0,811.519
193,1975,f,J,Belgium,Israel,1,0.0,3261.41
194,1976,f,J,Belgium,Israel,5,0.0,3261.41
195,1977,f,J,Belgium,Israel,1,0.0,3261.41
196,1978,f,J,Belgium,Israel,12,0.0,3261.41
197,1979,f,J,Belgium,Israel,2,0.0,3261.41
198,1981,f,J,Belgium,Israel,0,0.0,3261.41
199,1982,f,J,Belgium,Israel,7,0.0,3261.41
200,1983,f,J,Belgium,Israel,10,0.0,3261.41
201,1985,f,J,Belgium,Israel,0,0.0,3261.41
202,1986,f,J,Belgium,Israel,0,0.0,3261.41
203,1987,f,J,Belgium,Israel,6,0.0,3261.41
204,1988,f,J,Belgium,Israel,10,0.0,3261.41
205,1989,f,J,Belgium,Israel,0,0.0,3261.41
206,1990,f,J,Belgium,Israel,0,0.0,3261.41
207,1991,f,J,Belgium,Israel,8,0.0,3261.41
208,1992,f,J,Belgium,Israel,0,0.0,3261.41
209,1993,f,J,Belgium,Israel,0,0.0,3261.41
210,1995,f,J,Belgium,Israel,4,0.0,3261.41
211,1998,f,J,Belgium,Israel,10,0.0,3261.41
212,1999,f,J,Belgium,Israel,3,0.0,3261.41
213,2000,f,J,Belgium,Israel,0,0.0,3261.41
214,2002,f,J,Belgium,Israel,2,0.0,3261.41
215,2003,f,J,Belgium,Israel,0,0.0,3261.41
216,2004,sf,J,Belgium,Israel,2,0.0,3261.41
217,2005,f,J,Belgium,Israel,6,0.0,3261.41
218,2005,sf,J,Belgium,Israel,3,0.0,3261.41
219,2006,f,J,Belgium,Israel,0,0.0,3261.41
220,2007,sf,J,Belgium,Israel,0,0.0,3261.41
221,2008,f,J,Belgium,Israel,5,0.0,3261.41
222,2008,sf1,J,Belgium,Israel,7,0.0,3261.41
223,2009,f,J,Belgium,Israel,8,0.0,3261.41
224,2009,sf1,J,Belgium,Israel,3,0.0,3261.41
225,2010,f,J,Belgium,Israel,0,0.0,3261.41
226,2011,sf2,J,Belgium,Israel,2,0.0,3261.41
227,2012,sf1,J,Belgium,Israel,0,0.0,3261.41
228,2015,f,J,Belgium,Israel,0,0.0,3261.41
229,2016,f,J,Belgium,Israel,2,0.0,3261.41
230,2016,f,T,Belgium,Israel,0,0.0,3261.41
231,2016,sf2,J,Belgium,Israel,10,0.0,3261.41
232,2016,sf2,T,Belgium,Israel,1,0.0,3261.41
233,1975,f,J,Belgium,Italy,6,0.0,1087.702
234,1976,f,J,Belgium,Italy,0,0.0,1087.702
235,1977,f,J,Belgium,Italy,0,0.0,1087.702
236,1978,f,J,Belgium,Italy,1,0.0,1087.702
237,1979,f,J,Belgium,Italy,0,0.0,1087.702
238,1980,f,J,Belgium,Italy,10,0.0,1087.702
239,1983,f,J,Belgium,Italy,0,0.0,1087.702
240,1984,f,J,Belgium,Italy,0,0.0,1087.702
241,1985,f,J,Belgium,Italy,2,0.0,1087.702
242,1987,f,J,Belgium,Italy,5,0.0,1087.702
243,1988,f,J,Belgium,Italy,0,0.0,1087.702
244,1989,f,J,Belgium,Italy,0,0.0,1087.702
245,1990,f,J,Belgium,Italy,8,0.0,1087.702
246,1991,f,J,Belgium,Italy,0,0.0,1087.702
247,1992,f,J,Belgium,Italy,0,0.0,1087.702
248,1993,f,J,Belgium,Italy,0,0.0,1087.702
249,2011,f,J,Belgium,Italy,6,0.0,1087.702
250,2012,f,J,Belgium,Italy,0,0.0,1087.702
251,2013,f,J,Belgium,Italy,6,0.0,1087.702
252,2014,f,J,Belgium,Italy,0,0.0,1087.702
253,2015,f,J,Belgium,Italy,8,0.0,1087.702
254,2016,f,J,Belgium,Italy,10,0.0,1087.702
255,2016,f,T,Belgium,Italy,0,0.0,1087.702
256,1975,f,J,Belgium,Luxembourg,0,1.0,191.5976
257,1976,f,J,Belgium,Luxembourg,6,1.0,191.5976
258,1977,f,J,Belgium,Luxembourg,0,1.0,191.5976
259,1978,f,J,Belgium,Luxembourg,3,1.0,191.5976
260,1979,f,J,Belgium,Luxembourg,0,1.0,191.5976
261,1980,f,J,Belgium,Luxembourg,8,1.0,191.5976
262,1981,f,J,Belgium,Luxembourg,0,1.0,191.5976
263,1982,f,J,Belgium,Luxembourg,8,1.0,191.5976
264,1983,f,J,Belgium,Luxembourg,8,1.0,191.5976
265,1984,f,J,Belgium,Luxembourg,0,1.0,191.5976
266,1985,f,J,Belgium,Luxembourg,0,1.0,191.5976
267,1986,f,J,Belgium,Luxembourg,10,1.0,191.5976
268,1987,f,J,Belgium,Luxembourg,0,1.0,191.5976
269,1988,f,J,Belgium,Luxembourg,8,1.0,191.5976
270,1989,f,J,Belgium,Luxembourg,0,1.0,191.5976
271,1990,f,J,Belgium,Luxembourg,0,1.0,191.5976
272,1991,f,J,Belgium,Luxembourg,2,1.0,191.5976
273,1992,f,J,Belgium,Luxembourg,0,1.0,191.5976
274,1993,f,J,Belgium,Luxembourg,0,1.0,191.5976
275,1975,f,J,Belgium,Malta,7,0.0,1854.416
276,1991,f,J,Belgium,Malta,4,0.0,1854.416
277,1992,f,J,Belgium,Malta,10,0.0,1854.416
278,1993,f,J,Belgium,Malta,0,0.0,1854.416
279,1995,f,J,Belgium,Malta,0,0.0,1854.416
280,1996,f,J,Belgium,Malta,0,0.0,1854.416
281,1998,f,J,Belgium,Malta,8,0.0,1854.416
282,1999,f,J,Belgium,Malta,0,0.0,1854.416
283,2000,f,J,Belgium,Malta,1,0.0,1854.416
284,2002,f,J,Belgium,Malta,7,0.0,1854.416
285,2003,f,J,Belgium,Malta,0,0.0,1854.416
286,2004,f,J,Belgium,Malta,0,0.0,1854.416
287,2004,sf,J,Belgium,Malta,0,0.0,1854.416
288,2005,f,J,Belgium,Malta,8,0.0,1854.416
289,2006,f,J,Belgium,Malta,0,0.0,1854.416
290,2007,sf,J,Belgium,Malta,0,0.0,1854.416
291,2009,f,J,Belgium,Malta,0,0.0,1854.416
292,2009,sf1,J,Belgium,Malta,8,0.0,1854.416
293,2010,sf1,J,Belgium,Malta,0,0.0,1854.416
294,2012,f,J,Belgium,Malta,0,0.0,1854.416
295,2013,f,J,Belgium,Malta,0,0.0,1854.416
296,2014,f,J,Belgium,Malta,0,0.0,1854.416
297,2016,f,J,Belgium,Malta,0,0.0,1854.416
298,2016,f,T,Belgium,Malta,0,0.0,1854.416
299,1975,f,J,Belgium,Monaco,0,0.0,
300,1976,f,J,Belgium,Monaco,8,0.0,
301,1977,f,J,Belgium,Monaco,2,0.0,
302,1978,f,J,Belgium,Monaco,6,0.0,
303,1979,f,J,Belgium,Monaco,0,0.0,
304,2004,sf,J,Belgium,Monaco,0,0.0,
305,2005,sf,J,Belgium,Monaco,0,0.0,
306,2006,sf,J,Belgium,Monaco,0,0.0,
307,1975,f,J,Belgium,Norway,0,0.0,1128.785
308,1976,f,J,Belgium,Norway,0,0.0,1128.785
309,1977,f,J,Belgium,Norway,5,0.0,1128.785
310,1978,f,J,Belgium,Norway,0,0.0,1128.785
311,1979,f,J,Belgium,Norway,8,0.0,1128.785
312,1980,f,J,Belgium,Norway,0,0.0,1128.785
313,1981,f,J,Belgium,Norway,0,0.0,1128.785
314,1982,f,J,Belgium,Norway,2,0.0,1128.785
315,1983,f,J,Belgium,Norway,7,0.0,1128.785
316,1984,f,J,Belgium,Norway,1,0.0,1128.785
317,1985,f,J,Belgium,Norway,12,0.0,1128.785
318,1986,f,J,Belgium,Norway,5,0.0,1128.785
319,1987,f,J,Belgium,Norway,7,0.0,1128.785
320,1988,f,J,Belgium,Norway,3,0.0,1128.785
321,1989,f,J,Belgium,Norway,8,0.0,1128.785
322,1990,f,J,Belgium,Norway,0,0.0,1128.785
323,1991,f,J,Belgium,Norway,0,0.0,1128.785
324,1992,f,J,Belgium,Norway,3,0.0,1128.785
325,1993,f,J,Belgium,Norway,6,0.0,1128.785
326,1995,f,J,Belgium,Norway,5,0.0,1128.785
327,1996,f,J,Belgium,Norway,8,0.0,1128.785
328,1998,f,J,Belgium,Norway,4,0.0,1128.785
329,1999,f,J,Belgium,Norway,0,0.0,1128.785
330,2000,f,J,Belgium,Norway,0,0.0,1128.785
331,2003,f,J,Belgium,Norway,6,0.0,1128.785
332,2004,f,J,Belgium,Norway,0,0.0,1128.785
333,2005,f,J,Belgium,Norway,3,0.0,1128.785
334,2005,sf,J,Belgium,Norway,2,0.0,1128.785
335,2006,f,J,Belgium,Norway,0,0.0,1128.785
336,2007,sf,J,Belgium,Norway,0,0.0,1128.785
337,2008,f,J,Belgium,Norway,2,0.0,1128.785
338,2008,sf1,J,Belgium,Norway,1,0.0,1128.785
339,2009,f,J,Belgium,Norway,10,0.0,1128.785
340,2010,f,J,Belgium,Norway,0,0.0,1128.785
341,2012,f,J,Belgium,Norway,0,0.0,1128.785
342,2013,f,J,Belgium,Norway,7,0.0,1128.785
343,2014,f,J,Belgium,Norway,0,0.0,1128.785
344,2015,f,J,Belgium,Norway,0,0.0,1128.785
345,2016,sf2,J,Belgium,Norway,4,0.0,1128.785
346,2016,sf2,T,Belgium,Norway,0,0.0,1128.785
347,1975,f,J,Belgium,Portugal,0,0.0,1683.548
348,1976,f,J,Belgium,Portugal,0,0.0,1683.548
349,1977,f,J,Belgium,Portugal,0,0.0,1683.548
350,1978,f,J,Belgium,Portugal,0,0.0,1683.548
351,1979,f,J,Belgium,Portugal,5,0.0,1683.548
352,1980,f,J,Belgium,Portugal,4,0.0,1683.548
353,1981,f,J,Belgium,Portugal,0,0.0,1683.548
354,1982,f,J,Belgium,Portugal,0,0.0,1683.548
355,1983,f,J,Belgium,Portugal,0,0.0,1683.548
356,1984,f,J,Belgium,Portugal,0,0.0,1683.548
357,1985,f,J,Belgium,Portugal,0,0.0,1683.548
358,1986,f,J,Belgium,Portugal,0,0.0,1683.548
359,1987,f,J,Belgium,Portugal,0,0.0,1683.548
360,1988,f,J,Belgium,Portugal,0,0.0,1683.548
361,1989,f,J,Belgium,Portugal,2,0.0,1683.548
362,1990,f,J,Belgium,Portugal,0,0.0,1683.548
363,1991,f,J,Belgium,Portugal,0,0.0,1683.548
364,1992,f,J,Belgium,Portugal,0,0.0,1683.548
365,1993,f,J,Belgium,Portugal,0,0.0,1683.548
366,1995,f,J,Belgium,Portugal,0,0.0,1683.548
367,1996,f,J,Belgium,Portugal,6,0.0,1683.548
368,1998,f,J,Belgium,Portugal,1,0.0,1683.548
369,1999,f,J,Belgium,Portugal,0,0.0,1683.548
370,2003,f,J,Belgium,Portugal,0,0.0,1683.548
371,2004,sf,J,Belgium,Portugal,4,0.0,1683.548
372,2005,sf,J,Belgium,Portugal,10,0.0,1683.548
373,2006,sf,J,Belgium,Portugal,0,0.0,1683.548
374,2007,sf,J,Belgium,Portugal,3,0.0,1683.548
375,2008,f,J,Belgium,Portugal,6,0.0,1683.548
376,2009,f,J,Belgium,Portugal,6,0.0,1683.548
377,2009,sf1,J,Belgium,Portugal,6,0.0,1683.548
378,2010,f,J,Belgium,Portugal,0,0.0,1683.548
379,2010,sf1,J,Belgium,Portugal,4,0.0,1683.548
380,2014,sf1,J,Belgium,Portugal,6,0.0,1683.548
381,1975,f,J,Belgium,Spain,4,0.0,1356.567
382,1976,f,J,Belgium,Spain,0,0.0,1356.567
383,1977,f,J,Belgium,Spain,7,0.0,1356.567
384,1978,f,J,Belgium,Spain,2,0.0,1356.567
385,1979,f,J,Belgium,Spain,12,0.0,1356.567
386,1980,f,J,Belgium,Spain,0,0.0,1356.567
387,1981,f,J,Belgium,Spain,0,0.0,1356.567
388,1982,f,J,Belgium,Spain,4,0.0,1356.567
389,1983,f,J,Belgium,Spain,0,0.0,1356.567
390,1984,f,J,Belgium,Spain,3,0.0,1356.567
391,1985,f,J,Belgium,Spain,0,0.0,1356.567
392,1986,f,J,Belgium,Spain,3,0.0,1356.567
393,1987,f,J,Belgium,Spain,0,0.0,1356.567
394,1988,f,J,Belgium,Spain,6,0.0,1356.567
395,1989,f,J,Belgium,Spain,7,0.0,1356.567
396,1990,f,J,Belgium,Spain,1,0.0,1356.567
397,1991,f,J,Belgium,Spain,6,0.0,1356.567
398,1992,f,J,Belgium,Spain,1,0.0,1356.567
399,1993,f,J,Belgium,Spain,5,0.0,1356.567
400,1995,f,J,Belgium,Spain,12,0.0,1356.567
401,1996,f,J,Belgium,Spain,0,0.0,1356.567
402,1998,f,J,Belgium,Spain,3,0.0,1356.567
403,1999,f,J,Belgium,Spain,0,0.0,1356.567
404,2000,f,J,Belgium,Spain,0,0.0,1356.567
405,2002,f,J,Belgium,Spain,12,0.0,1356.567
406,2003,f,J,Belgium,Spain,10,0.0,1356.567
407,2004,f,J,Belgium,Spain,7,0.0,1356.567
408,2005,f,J,Belgium,Spain,0,0.0,1356.567
409,2006,f,J,Belgium,Spain,0,0.0,1356.567
410,2007,f,J,Belgium,Spain,3,0.0,1356.567
411,2008,f,J,Belgium,Spain,4,0.0,1356.567
412,2009,f,J,Belgium,Spain,0,0.0,1356.567
413,2010,f,J,Belgium,Spain,1,0.0,1356.567
414,2011,f,J,Belgium,Spain,0,0.0,1356.567
415,2012,f,J,Belgium,Spain,6,0.0,1356.567
416,2013,f,J,Belgium,Spain,0,0.0,1356.567
417,2014,f,J,Belgium,Spain,2,0.0,1356.567
418,2015,f,J,Belgium,Spain,0,0.0,1356.567
419,2016,f,J,Belgium,Spain,0,0.0,1356.567
420,2016,f,T,Belgium,Spain,0,0.0,1356.567
421,1975,f,J,Belgium,Sweden,0,0.0,1151.5
422,1977,f,J,Belgium,Sweden,0,0.0,1151.5
423,1978,f,J,Belgium,Sweden,0,0.0,1151.5
424,1979,f,J,Belgium,Sweden,0,0.0,1151.5
425,1980,f,J,Belgium,Sweden,0,0.0,1151.5
426,1981,f,J,Belgium,Sweden,4,0.0,1151.5
427,1982,f,J,Belgium,Sweden,5,0.0,1151.5
428,1983,f,J,Belgium,Sweden,5,0.0,1151.5
429,1984,f,J,Belgium,Sweden,7,0.0,1151.5
430,1985,f,J,Belgium,Sweden,7,0.0,1151.5
431,1986,f,J,Belgium,Sweden,0,0.0,1151.5
432,1987,f,J,Belgium,Sweden,1,0.0,1151.5
433,1988,f,J,Belgium,Sweden,1,0.0,1151.5
434,1989,f,J,Belgium,Sweden,6,0.0,1151.5
435,1990,f,J,Belgium,Sweden,0,0.0,1151.5
436,1991,f,J,Belgium,Sweden,10,0.0,1151.5
437,1992,f,J,Belgium,Sweden,0,0.0,1151.5
438,1993,f,J,Belgium,Sweden,10,0.0,1151.5
439,1995,f,J,Belgium,Sweden,0,0.0,1151.5
440,1996,f,J,Belgium,Sweden,10,0.0,1151.5
441,1998,f,J,Belgium,Sweden,0,0.0,1151.5
442,1999,f,J,Belgium,Sweden,7,0.0,1151.5
443,2000,f,J,Belgium,Sweden,5,0.0,1151.5
444,2002,f,J,Belgium,Sweden,1,0.0,1151.5
445,2003,f,J,Belgium,Sweden,4,0.0,1151.5
446,2004,f,J,Belgium,Sweden,2,0.0,1151.5
447,2005,f,J,Belgium,Sweden,0,0.0,1151.5
448,2006,f,J,Belgium,Sweden,5,0.0,1151.5
449,2006,sf,J,Belgium,Sweden,5,0.0,1151.5
450,2007,f,J,Belgium,Sweden,0,0.0,1151.5
451,2008,f,J,Belgium,Sweden,0,0.0,1151.5
452,2009,f,J,Belgium,Sweden,0,0.0,1151.5
453,2009,sf1,J,Belgium,Sweden,4,0.0,1151.5
454,2011,f,J,Belgium,Sweden,4,0.0,1151.5
455,2011,sf2,J,Belgium,Sweden,12,0.0,1151.5
456,2012,f,J,Belgium,Sweden,12,0.0,1151.5
457,2013,f,J,Belgium,Sweden,1,0.0,1151.5
458,2014,f,J,Belgium,Sweden,10,0.0,1151.5
459,2014,sf1,J,Belgium,Sweden,8,0.0,1151.5
460,2015,f,J,Belgium,Sweden,12,0.0,1151.5
461,2016,f,J,Belgium,Sweden,0,0.0,1151.5
462,2016,f,T,Belgium,Sweden,1,0.0,1151.5
463,1975,f,J,Belgium,Switzerland,8,0.0,503.0689
464,1976,f,J,Belgium,Switzerland,7,0.0,503.0689
465,1977,f,J,Belgium,Switzerland,8,0.0,503.0689
466,1978,f,J,Belgium,Switzerland,7,0.0,503.0689
467,1979,f,J,Belgium,Switzerland,0,0.0,503.0689
468,1980,f,J,Belgium,Switzerland,2,0.0,503.0689
469,1981,f,J,Belgium,Switzerland,0,0.0,503.0689
470,1982,f,J,Belgium,Switzerland,12,0.0,503.0689
471,1983,f,J,Belgium,Switzerland,1,0.0,503.0689
472,1984,f,J,Belgium,Switzerland,5,0.0,503.0689
473,1985,f,J,Belgium,Switzerland,5,0.0,503.0689
